iso3,year,terrorism,self_defense,sovereignty,humanitarian,whataboutism,procedural,historical,group,period
ZMB,2005,3.257328990228013,0.0,0.0,0.0,0.0,0.0,1.6286644951140066,Non-Aligned Movement,2002–2008
STP,2003,1.520912547528517,0.0,0.0,0.0,0.7604562737642585,0.7604562737642585,0.0,Non-Aligned Movement,2002–2008
ZAF,2005,0.449842555105713,0.0,0.0,0.899685110211426,0.0,0.899685110211426,0.0,Non-Aligned Movement,2002–2008
KWT,2008,1.2026458208057726,0.0,1.2026458208057726,0.0,0.0,0.6013229104028863,0.0,Non-Aligned Movement,2002–2008
MMR,2007,4.223864836325237,0.0,0.0,0.5279831045406547,0.0,0.0,1.5839493136219642,Non-Aligned Movement,2002–2008
MLI,2008,0.684931506849315,0.0,0.0,0.0,0.0,0.0,0.0,Non-Aligned Movement,2002–2008
KIR,2008,0.7555723460521344,0.0,0.0,0.0,0.0,0.0,0.0,Non-Aligned Movement,2002–2008
CHN,2008,0.7468259895444362,0.0,5.227781926811053,0.0,0.0,0.7468259895444362,1.4936519790888725,Non-Aligned Movement,2002–2008
OMN,2007,0.0,0.0,0.0,0.0,0.0,0.8591065292096219,0.0,Non-Aligned Movement,2002–2008
BOL,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-Aligned Movement,2002–2008
TCD,2004,1.826817683595177,0.0,0.36536353671903543,2.557544757033248,0.0,0.36536353671903543,0.0,Non-Aligned Movement,2002–2008
COM,2008,0.5467468562055768,0.0,0.0,0.0,0.0,2.1869874248223073,0.0,Non-Aligned Movement,2002–2008
VUT,2002,1.0559662090813093,0.0,0.5279831045406547,0.0,0.5279831045406547,1.0559662090813093,0.0,Non-Aligned Movement,2002–2008
PHL,2006,3.4153005464480874,0.0,0.0,0.0,0.0,0.0,0.0,Non-Aligned Movement,2002–2008
YEM,2002,9.852216748768473,0.0,1.4074595355383532,0.0,0.0,0.0,0.0,Non-Aligned Movement,2002–2008
DMA,2005,2.9296875,0.0,0.0,0.48828125,0.0,0.0,0.0,Non-Aligned Movement,2002–2008
MAR,2006,0.0,0.0,0.9474182851729038,0.0,0.0,1.4211274277593557,0.0,Non-Aligned Movement,2002–2008
LSO,2005,1.5923566878980893,0.7961783439490446,0.0,1.5923566878980893,0.0,0.0,0.0,Non-Aligned Movement,2002–2008
MDV,2004,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,Non-Aligned Movement,2002–2008
CRI,2003,3.061849357011635,0.0,0.0,1.224739742804654,0.0,1.224739742804654,0.0,Non-Aligned Movement,2002–2008
LAO,2003,0.0,0.0,0.7209805335255948,0.7209805335255948,0.0,2.1629416005767843,0.0,Non-Aligned Movement,2002–2008
KNA,2002,1.8796992481203008,0.0,0.0,0.0,0.0,1.2531328320802004,0.0,Non-Aligned Movement,2002–2008
ESP,2009,0.8722197993894462,0.0,0.0,0.0,0.0,0.0,0.0,Western bloc,2009–2013
BGR,2011,1.0795250089960418,0.0,0.0,0.0,0.0,0.0,0.0,Western bloc,2009–2013
EST,2009,0.0,0.0,0.7552870090634441,10.574018126888218,0.0,0.7552870090634441,0.0,Western bloc,2009–2013
BGR,2010,2.197802197802198,0.0,0.0,0.6279434850863422,0.0,0.3139717425431711,0.0,Western bloc,2009–2013
LIE,2013,0.6414368184733803,0.0,0.0,3.8486209108402822,0.0,1.2828736369467606,0.0,Western bloc,2009–2013
SMR,2009,4.197271773347325,0.0,0.0,0.0,0.0,0.5246589716684156,0.0,Western bloc,2009–2013
NOR,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Western bloc,2009–2013
LIE,2010,0.0,0.0,0.0,0.676132521974307,0.0,1.352265043948614,0.0,Western bloc,2009–2013
NZL,2009,0.0,0.0,0.0,0.9718172983479105,0.0,0.9718172983479105,0.0,Western bloc,2009–2013
HUN,2012,0.0,0.0,0.0,0.0,0.0,0.7818608287724785,0.0,Western bloc,2009–2013
SVK,2012,2.5176233635448138,0.0,0.0,0.0,0.0,0.5035246727089627,0.0,Western bloc,2009–2013
CHE,2011,0.0,0.0,0.0,0.0,0.0,0.9560229445506692,0.0,Western bloc,2009–2013
ALB,2011,0.0,0.0,0.0,0.0,0.0,1.6066838046272494,0.0,Western bloc,2009–2013
HRV,2010,3.2278889606197545,0.0,0.0,2.5823111684958038,0.0,0.6455777921239509,0.0,Western bloc,2009–2013
POL,2009,2.0761245674740487,0.0,0.0,0.0,0.0,0.6920415224913494,0.0,Western bloc,2009–2013
PRT,2011,1.7145306472353192,0.0,0.0,0.0,0.0,0.0,0.0,Western bloc,2009–2013
ESP,2011,4.056795131845842,0.0,0.0,0.8113590263691683,0.0,0.0,1.2170385395537524,Western bloc,2009–2013
TUR,2013,2.6857654431512983,0.0,0.0,0.8952551477170994,0.0,0.0,0.0,Western bloc,2009–2013
LTU,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Western bloc,2009–2013
ITA,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Western bloc,2009–2013
SVN,2009,0.0,0.0,0.0,0.562429696287964,0.0,0.0,0.0,Western bloc,2009–2013
NLD,2013,1.78173719376392,0.0,0.0,1.78173719376392,0.0,0.89086859688196,0.44543429844098,Western bloc,2009–2013
HRV,2013,0.0,0.0,0.41017227235438886,0.8203445447087777,0.0,0.0,0.0,Western bloc,2009–2013
ISR,2010,0.7326007326007326,0.0,0.0,0.7326007326007326,0.0,0.0,0.7326007326007326,Western bloc,2009–2013
BEL,2010,0.0,0.0,1.1933174224343677,1.1933174224343677,0.0,0.5966587112171838,0.0,Western bloc,2009–2013
RUS,2009,0.7707129094412332,0.0,0.0,0.0,0.0,1.5414258188824663,0.0,Soviet/Eastern bloc,2009–2013
MNE,2010,3.2441200324412005,0.0,0.0,0.8110300081103001,0.0,1.6220600162206003,0.0,Soviet/Eastern bloc,2009–2013
MNG,2010,2.435064935064935,0.0,0.0,0.0,0.0,0.0,0.0,Soviet/Eastern bloc,2009–2013
GEO,2013,0.0,0.0,0.6212466349140608,0.2070822116380203,0.0,0.0,1.0354110581901013,Soviet/Eastern bloc,2009–2013
MNE,2011,0.48590864917395526,0.0,0.0,0.48590864917395526,0.0,0.48590864917395526,0.0,Soviet/Eastern bloc,2009–2013
KAZ,2010,2.4189646831156266,0.0,0.0,0.4837929366231253,0.0,0.0,0.0,Soviet/Eastern bloc,2009–2013
CUB,2011,2.9311187103077674,0.0,0.9770395701025891,1.4655593551538837,0.0,0.9770395701025891,0.48851978505129456,Soviet/Eastern bloc,2009–2013
KGZ,2011,0.0,0.0,0.0,0.0,0.0,0.7204610951008645,0.7204610951008645,Soviet/Eastern bloc,2009–2013
GEO,2012,0.0,0.0,0.587026709715292,0.0,0.0,0.293513354857646,0.0,Soviet/Eastern bloc,2009–2013
BLR,2011,0.0,0.0,0.5221932114882506,0.0,0.0,1.566579634464752,0.0,Soviet/Eastern bloc,2009–2013
KGZ,2010,3.6477331943720688,0.0,0.0,1.563314226159458,0.0,0.0,0.5211047420531526,Soviet/Eastern bloc,2009–2013
BLR,2009,1.4655593551538837,0.0,0.0,0.0,0.0,0.0,0.0,Soviet/Eastern bloc,2009–2013
VNM,2013,0.6090133982947624,0.0,0.6090133982947624,0.0,0.0,1.8270401948842874,0.0,Soviet/Eastern bloc,2009–2013
MNG,2011,1.1342155009451795,0.0,0.0,0.0,0.0,0.0,0.3780718336483932,Soviet/Eastern bloc,2009–2013
MNG,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Soviet/Eastern bloc,2009–2013
PRK,2011,0.0,0.0,0.9794319294809011,0.0,0.9794319294809011,0.9794319294809011,0.0,Soviet/Eastern bloc,2009–2013
PRK,2013,0.0,0.0,2.2087244616234125,0.0,2.2087244616234125,0.5521811154058531,0.0,Soviet/Eastern bloc,2009–2013
UKR,2011,3.225806451612903,0.0,0.0,2.688172043010753,0.0,0.0,0.5376344086021505,Soviet/Eastern bloc,2009–2013
ARM,2013,0.6618133686300464,0.0,0.0,3.970880211780278,0.0,1.3236267372600927,0.0,Soviet/Eastern bloc,2009–2013
MKD,2010,0.0,0.0,0.0,0.625,0.0,0.625,0.625,Soviet/Eastern bloc,2009–2013
CUB,2012,4.424778761061947,0.0,2.5284450063211126,0.0,1.2642225031605563,0.6321112515802781,0.0,Soviet/Eastern bloc,2009–2013
AZE,2009,0.0,0.0,1.1049723756906078,0.5524861878453039,0.0,2.7624309392265194,1.1049723756906078,Soviet/Eastern bloc,2009–2013
CUB,2010,1.7162471395881005,0.0,0.0,0.5720823798627003,1.1441647597254005,1.1441647597254005,0.5720823798627003,Soviet/Eastern bloc,2009–2013
ARM,2009,0.6640106241699867,0.0,0.0,4.648074369189907,0.0,2.6560424966799467,0.0,Soviet/Eastern bloc,2009–2013
VNM,2010,2.0222446916076846,0.0,1.0111223458038423,0.5055611729019212,1.0111223458038423,0.5055611729019212,0.5055611729019212,Soviet/Eastern bloc,2009–2013
CRI,2011,0.0,0.0,0.46125461254612543,0.9225092250922509,0.0,1.3837638376383763,0.0,Non-Aligned Movement,2009–2013
GRD,2010,0.5543237250554324,0.0,0.0,1.1086474501108647,0.0,0.0,0.0,Non-Aligned Movement,2009–2013
MLI,2012,3.586065573770492,0.0,0.0,3.586065573770492,0.0,0.0,1.0245901639344264,Non-Aligned Movement,2009–2013
GNB,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-Aligned Movement,2009–2013
SOM,2012,0.0,0.0,0.0,0.4061738424045491,0.0,0.0,0.0,Non-Aligned Movement,2009–2013
CHL,2010,0.45413260672116257,0.0,0.0,0.45413260672116257,0.0,0.0,0.45413260672116257,Non-Aligned Movement,2009–2013
BRN,2012,0.7867820613690008,0.0,0.0,0.0,0.0,0.0,0.0,Non-Aligned Movement,2009–2013
PHL,2012,0.0,0.0,0.0,0.8624407072013799,0.0,0.43122035360068994,0.0,Non-Aligned Movement,2009–2013
SUR,2009,0.888888888888889,0.0,0.0,0.0,0.0,0.0,0.888888888888889,Non-Aligned Movement,2009–2013
UGA,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-Aligned Movement,2009–2013
KNA,2009,0.3743916136278548,0.0,0.0,0.0,0.0,0.0,0.0,Non-Aligned Movement,2009–2013
COM,2013,0.521920668058455,0.0,1.04384133611691,0.0,0.0,3.6534446764091855,0.521920668058455,Non-Aligned Movement,2009–2013
