,Dim1,Dim2,type
justification,-0.3344328596663362,0.002369547709793787,role
legal_normative,0.3916038765578222,-0.010117203136673586,role
sovereignty_norm,0.3794384232328556,-0.11857905516938085,role
historical_context,0.28116036780472453,0.2626405960404577,role
victim_narrative,0.08089415116563022,-1.2434177557259511,role
Western bloc,-0.5550561276793269,0.11220905095537921,bloc
Soviet/Eastern bloc,0.028111259908487535,-0.199226818876275,bloc
Non-Aligned Movement,0.35008911965089456,0.13936005412483868,bloc
