test,period,statistic,p-value,result,mean_Western bloc,mean_Soviet/Eastern bloc,mean_Non-Aligned Movement,group,mean_pre,mean_post,delta,t-statistic,significance
ANOVA (inter-group),Pre-2001 (1946–2001),0.389,0.6782,not significant,0.391,0.34,0.27,,,,,,
ANOVA (inter-group),Post-2001 (2002–2023),1.25,0.2881,not significant,1.811,2.004,1.447,,,,,,
t-test (pre vs post),,,0.0,,,,,Western bloc,0.391,1.811,1.42,-5.712,***
t-test (pre vs post),,,0.0,,,,,Soviet/Eastern bloc,0.34,2.004,1.664,-6.887,***
t-test (pre vs post),,,0.0,,,,,Non-Aligned Movement,0.27,1.447,1.177,-4.487,***
