iso3,year,terrorism,self_defense,sovereignty,humanitarian,whataboutism,procedural,historical,period
CSK,1963,0.17998560115190784,0.0,0.0,0.0,0.0,0.5399568034557236,0.17998560115190784,1960–1969
FIN,1963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960–1969
CSK,1966,0.0,0.0,0.45413260672116257,0.15137753557372086,0.0,2.8761731759006963,0.15137753557372086,1960–1969
ARG,1965,0.0,0.0,1.096147823363608,0.0,0.0,0.6263701847792046,0.15659254619480115,1960–1969
ITA,1961,0.0,0.2947244326554671,0.0,0.0,0.0,0.8841732979664013,0.2947244326554671,1960–1969
RWA,1968,0.0,0.0,0.0,0.25833118057349524,0.0,0.7749935417204857,0.7749935417204857,1960–1969
ISR,1967,0.48598736432852746,0.0,0.48598736432852746,0.3239915762190183,0.0,0.3239915762190183,0.3239915762190183,1960–1969
ZAF,1960,0.0,0.0,0.13107877834578582,0.13107877834578582,0.0,0.0,0.0,1960–1969
FRA,1969,0.0,0.0,0.24576062914721059,0.0,0.0,0.49152125829442117,0.9830425165888423,1960–1969
NPL,1969,0.0,0.0,0.0,0.2461235540241201,0.0,0.0,0.2461235540241201,1960–1969
NOR,1963,0.0,0.0,0.0,0.0,0.0,0.6157635467980296,0.6157635467980296,1960–1969
HTI,1964,0.0,0.0,0.7033997655334114,0.46893317702227433,0.0,0.0,0.9378663540445487,1960–1969
ISR,1965,0.0,0.0,0.959462700887503,0.0,0.0,0.23986567522187574,0.4797313504437515,1960–1969
COG,1964,0.0,0.0,1.0025062656641603,0.5012531328320802,0.0,0.5012531328320802,0.5012531328320802,1960–1969
JPN,1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960–1969
RUS,1965,0.0,0.0,0.9395973154362416,0.0,0.1342281879194631,1.4765100671140938,0.0,1960–1969
SOM,1964,0.0,0.0,0.0,0.0,0.5875440658049353,1.1750881316098707,0.2937720329024677,1960–1969
CUB,1966,0.0,0.0,1.3953488372093024,0.0,0.0,0.6201550387596899,0.0,1960–1969
GBR,1969,0.0,0.0,0.27427317608337903,0.0,0.0,0.27427317608337903,0.0,1960–1969
YEM,1961,0.49019607843137253,0.0,0.49019607843137253,0.0,0.0,0.0,0.0,1960–1969
IND,1964,0.0,0.0,0.39408866995073893,0.0,0.0,0.39408866995073893,0.0,1960–1969
MMR,1962,0.0,0.0,0.5995203836930455,0.0,0.0,0.0,0.0,1960–1969
TCD,1963,0.0,0.0,0.0,0.0,0.0,0.29239766081871343,0.5847953216374269,1960–1969
URY,1965,0.0,0.0,0.0,0.0,0.0,1.8441678192715536,0.4610419548178884,1960–1969
TGO,1961,0.0,0.0,0.40290088638195004,0.0,0.0,0.0,0.0,1960–1969
ECU,1967,0.0,0.0,0.8125126955108674,0.0,0.0,2.640666260410319,0.0,1960–1969
GAB,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.37105751391465674,1970–1979
UGA,1977,0.0,0.0,0.40858018386108275,0.40858018386108275,0.0,0.20429009193054137,0.20429009193054137,1970–1979
LBY,1973,1.3297872340425532,0.0,2.2163120567375887,0.0,0.0,0.0,0.8865248226950354,1970–1979
FRA,1970,0.0,0.0,0.0,0.0,0.0,0.0,0.32123353678124,1970–1979
USA,1975,0.3690717844620779,0.0,0.18453589223103894,0.0,0.18453589223103894,1.1072153533862337,0.18453589223103894,1970–1979
POL,1976,0.0,0.0,0.2871912693854107,0.0,0.0,0.8615738081562321,0.2871912693854107,1970–1979
ISL,1972,0.0,0.0,0.0,0.0,0.0,1.0080645161290323,0.0,1970–1979
SDN,1973,0.0,0.0,0.0,0.0,0.0,0.0,0.20044097013429546,1970–1979
RUS,1976,0.0,0.0,0.2447081854888046,0.0,0.0,0.3670622782332069,0.2447081854888046,1970–1979
BTN,1979,0.0,0.0,3.8929440389294405,0.48661800486618007,0.0,1.4598540145985401,0.0,1970–1979
COL,1971,0.0,0.0,0.37383177570093457,0.0,0.18691588785046728,2.429906542056075,0.0,1970–1979
ZMB,1970,0.25106703489831783,0.0,0.0,0.25106703489831783,0.0,1.0042681395932713,0.0,1970–1979
HUN,1974,0.0,0.0,0.5558643690939411,0.0,0.0,1.1117287381878822,0.27793218454697055,1970–1979
MYS,1973,0.0,0.0,0.2039151712887439,0.0,0.0,0.6117455138662315,0.4078303425774878,1970–1979
ROU,1977,0.0,0.0,1.2212994626282363,0.24425989252564728,0.0,0.7327796775769418,0.0,1970–1979
DNK,1978,0.3033060357901122,0.0,0.3033060357901122,0.0,0.0,0.6066120715802245,0.0,1970–1979
FJI,1973,0.889679715302491,0.0,0.2965599051008304,0.0,0.0,0.889679715302491,0.0,1970–1979
IRQ,1978,0.0,0.0,0.40774719673802245,0.0,0.0,1.0193679918450562,0.6116207951070336,1970–1979
MNG,1977,0.0,0.0,0.7765984985762361,0.0,0.0,0.5177323323841574,0.2588661661920787,1970–1979
GRC,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970–1979
BRA,1970,0.24826216484607744,0.0,0.7447864945382324,0.0,0.0,0.4965243296921549,0.24826216484607744,1970–1979
CHN,1978,0.2319647413593134,0.0,1.855717930874507,0.0,0.0,0.2319647413593134,0.6958942240779402,1970–1979
JOR,1973,0.0,0.0,0.378931413414172,0.378931413414172,0.0,0.378931413414172,0.757862826828344,1970–1979
YMD,1974,0.0,0.0,2.7866242038216558,0.3980891719745223,0.0,0.7961783439490446,0.3980891719745223,1970–1979
IRL,1977,0.0,0.0,0.142025280499929,0.0,0.0,0.284050560999858,0.142025280499929,1970–1979
MDG,1973,0.16926201760324983,0.0,0.8463100880162492,0.5077860528097495,0.0,1.1848341232227488,0.33852403520649965,1970–1979
TZA,1972,0.0,0.0,0.0,0.0,0.0,0.3844675124951942,0.3844675124951942,1970–1979
DZA,1971,0.0,0.0,0.3956478733926805,0.3956478733926805,0.0,0.3956478733926805,0.0,1970–1979
GBR,1979,0.0,0.0,0.0,0.0,0.0,0.5385029617662898,0.5385029617662898,1970–1979
UKR,1976,0.0,0.5220569042025581,1.8271991647089534,0.0,0.0,0.5220569042025581,0.26102845210127906,1970–1979
BLR,1970,0.0,0.0,0.7102272727272727,0.0,0.0,3.018465909090909,0.7102272727272727,1970–1979
NGA,1976,0.0,0.0,0.0,0.21800741225201656,0.21800741225201656,0.0,0.4360148245040331,1970–1979
PRY,1973,1.2112403100775193,0.0,0.4844961240310077,0.0,0.0,0.4844961240310077,0.4844961240310077,1970–1979
MEX,1974,0.0,0.0,0.6070416835289356,0.0,0.0,1.41643059490085,0.40469445568595713,1970–1979
LBY,1972,3.937007874015748,0.2315886984715146,0.0,0.4631773969430292,0.0,0.6947660954145438,0.2315886984715146,1970–1979
IDN,1970,0.0,0.0,1.0344827586206897,0.0,0.0,0.689655172413793,0.0,1970–1979
SLV,1974,0.0,0.0,0.0,0.0,0.0,0.4106776180698152,0.8213552361396304,1970–1979
USA,1979,0.48088482808367394,0.0,0.0,0.48088482808367394,0.0,0.0,0.0,1970–1979
SAU,1974,0.0,0.0,0.6802721088435374,0.0,0.0,1.3605442176870748,0.0,1970–1979
VEN,1971,0.0,0.0,0.31675641431738993,0.0,0.0,0.31675641431738993,0.0,1970–1979
CRI,1981,0.24131274131274133,0.0,0.48262548262548266,0.24131274131274133,0.0,1.2065637065637065,0.9652509652509653,1980–1989
BLZ,1984,0.0,0.0,4.053506282934738,0.0,0.0,0.40535062829347385,0.8107012565869477,1980–1989
TCD,1986,1.8613308515588647,0.46533271288971617,0.46533271288971617,0.46533271288971617,0.0,0.46533271288971617,0.0,1980–1989
GBR,1989,1.2980269989615785,0.0,0.25960539979231567,0.0,0.0,0.25960539979231567,0.0,1980–1989
MLI,1987,0.0,0.0,0.5045408678102926,0.0,0.0,0.5045408678102926,0.0,1980–1989
SLB,1986,0.41649312786339027,0.0,0.41649312786339027,0.0,0.0,0.0,0.41649312786339027,1980–1989
MMR,1988,0.0,0.0,0.5162622612287042,0.5162622612287042,0.0,0.5162622612287042,0.0,1980–1989
BDI,1986,0.39184952978056425,0.39184952978056425,0.39184952978056425,0.0,0.0,0.7836990595611285,0.39184952978056425,1980–1989
DNK,1985,0.0,0.0,0.0,0.5439216752787598,0.0,1.6317650258362797,0.0,1980–1989
COG,1980,0.0,0.0,1.36986301369863,0.273972602739726,0.0,0.0,0.547945205479452,1980–1989
BGD,1985,1.0053619302949062,0.0,0.3351206434316354,0.1675603217158177,0.0,1.3404825737265416,0.1675603217158177,1980–1989
IRQ,1983,0.44583147570218457,0.0,2.0062416406598307,0.0,0.22291573785109228,0.44583147570218457,0.0,1980–1989
SLE,1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980–1989
ARE,1980,0.0,0.0,1.3591573224600748,0.0,0.0,0.3397893306150187,0.0,1980–1989
GAB,1988,0.0,0.0,0.0,0.0,0.0,1.4170996693434106,0.0,1980–1989
OMN,1981,0.33288948069241014,0.0,2.663115845539281,0.9986684420772304,0.0,1.3315579227696406,0.33288948069241014,1980–1989
BDI,1981,0.0,0.0,0.3060912151821243,0.0,0.0,0.6121824303642486,1.8365472910927456,1980–1989
NGA,1980,0.0,0.0,0.0,0.0,0.0,0.24437927663734116,0.24437927663734116,1980–1989
COG,1987,0.0,0.0,0.31695721077654515,0.0,0.0,0.0,0.31695721077654515,1980–1989
DOM,1989,1.9636720667648502,0.49091801669121254,0.0,0.0,0.0,0.49091801669121254,0.49091801669121254,1980–1989
SUR,1984,0.28034763106251753,0.0,1.682085786375105,0.0,0.5606952621250351,0.8410428931875525,0.28034763106251753,1980–1989
JAM,1989,0.0,0.0,0.6949270326615705,0.0,0.0,0.0,0.23164234422052352,1980–1989
BDI,1988,0.9820770930518046,0.0,0.4910385465259023,0.4910385465259023,0.0,0.0,0.0,1980–1989
RUS,1983,0.0,0.0,0.3952048478461336,0.13173494928204452,0.0,0.5269397971281781,0.13173494928204452,1980–1989
TTO,1986,0.0,0.0,1.4265335235378032,0.0,0.0,1.1412268188302426,0.5706134094151213,1980–1989
MRT,1983,0.0,0.0,1.141291942478886,0.0,0.0,0.6847751654873316,0.45651677699155446,1980–1989
ZWE,1989,0.0,0.0,0.21973192704900024,0.0,0.0,0.21973192704900024,0.21973192704900024,1980–1989
MDG,1984,0.2465483234714004,0.0,1.4792899408284024,0.2465483234714004,0.0,0.4930966469428008,0.2465483234714004,1980–1989
YUG,1980,0.0,0.0,0.9282178217821782,0.3094059405940594,0.0,0.0,0.0,1980–1989
GTM,1982,0.1823154056517776,0.0,1.0938924339106655,0.1823154056517776,0.0,0.5469462169553327,0.3646308113035552,1980–1989
GHA,1986,1.021450459652707,0.0,0.25536261491317674,0.0,0.25536261491317674,1.021450459652707,0.7660878447395301,1980–1989
CHN,1982,0.0,0.0,1.9011406844106464,0.0,0.0,0.5431830526887561,0.5431830526887561,1980–1989
ROU,1987,0.0,0.0,1.3550135501355014,0.0,0.0,1.016260162601626,0.0,1980–1989
MEX,1985,0.2070822116380203,0.0,0.8283288465520812,0.0,0.0,0.2070822116380203,0.2070822116380203,1980–1989
PER,1987,1.3253810470510272,0.0,0.6626905235255136,0.0,0.0,0.3313452617627568,1.3253810470510272,1980–1989
LUX,1988,0.22836263987211694,0.0,0.4567252797442339,0.0,0.0,1.1418131993605847,0.4567252797442339,1980–1989
SYR,1983,0.0,0.0,2.785515320334262,0.0,0.0,0.9285051067780873,0.9285051067780873,1980–1989
TUN,1983,0.0,0.0,0.39643211100099107,0.0,0.0,0.39643211100099107,0.0,1980–1989
VNM,1984,0.0,0.0,1.5964877270005988,0.19956096587507485,0.0,0.0,0.19956096587507485,1980–1989
ZWE,1987,0.0,0.0,0.6453000645300064,0.0,0.0,0.4302000430200043,0.0,1980–1989
BRN,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990–2001
UKR,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.5767012687427913,1990–2001
HND,1991,0.0,0.0,0.7598784194528876,0.0,0.0,0.0,0.0,1990–2001
COD,2001,2.3382696804364773,0.0,0.0,0.0,0.0,0.0,0.0,1990–2001
HRV,2000,0.0,0.0,0.22893772893772893,0.0,0.0,0.0,0.0,1990–2001
ECU,1994,0.4314063848144953,0.0,0.0,0.8628127696289906,0.0,0.0,0.0,1990–2001
LBY,1993,1.6952744225471499,0.0,0.42381860563678747,0.42381860563678747,0.0,1.0595465140919686,0.0,1990–2001
SUR,1994,0.0,0.0,0.0,0.0,0.0,0.35739814152966404,0.35739814152966404,1990–2001
ETH,1992,0.0,0.0,0.0,2.2871664548919948,0.0,0.25412960609911056,0.25412960609911056,1990–2001
MLI,1990,0.0,0.0,0.7490636704119851,0.0,0.0,0.37453183520599254,0.0,1990–2001
JOR,1995,0.3189792663476874,0.0,1.2759170653907497,1.2759170653907497,0.0,0.6379585326953748,0.0,1990–2001
IND,1992,0.7840062720501764,0.0,3.1360250882007055,0.7840062720501764,0.0,0.7840062720501764,0.0,1990–2001
TCD,1991,0.0,0.0,0.26961445133459155,0.0,0.0,0.0,0.0,1990–2001
CRI,1993,0.0,0.0,0.0,0.0,0.0,0.6263701847792046,0.0,1990–2001
COL,1990,2.239283429302623,0.0,0.0,0.3198976327575176,0.0,0.9596928982725528,0.3198976327575176,1990–2001
MNG,1997,0.0,0.0,0.0,0.0,0.0,1.081665765278529,0.0,1990–2001
PHL,1999,0.0,0.0,1.504324934185784,1.504324934185784,0.0,0.0,0.376081233546446,1990–2001
MUS,1997,0.0,0.0,0.3399048266485384,0.0,0.0,0.0,0.0,1990–2001
IRN,1999,5.297473512632437,0.0,0.0,0.40749796251018744,0.0,0.0,0.8149959250203749,1990–2001
GHA,1991,0.0,0.0,0.0,0.0,0.0,0.315059861373661,0.630119722747322,1990–2001
DJI,1995,0.0,0.0,0.3008423586040915,1.5042117930204573,0.0,0.3008423586040915,0.0,1990–2001
SLV,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.6743088334457181,1990–2001
GTM,1994,0.0,0.0,0.6248047485160887,0.31240237425804435,0.0,0.9372071227741331,0.0,1990–2001
MLT,1994,0.6015037593984962,0.0,0.3007518796992481,0.0,0.0,0.3007518796992481,0.6015037593984962,1990–2001
WSM,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990–2001
NER,1994,0.0,0.0,0.0,0.0,0.0,0.26688017080330934,0.5337603416066187,1990–2001
TTO,2001,4.705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,1990–2001
NIC,1998,1.1806375442739079,0.0,0.0,0.0,0.0,1.1806375442739079,0.0,1990–2001
AUS,1997,0.0,0.0,0.0,0.0,0.0,0.0,0.2572678157962439,1990–2001
KGZ,2000,9.916492693110648,0.0,0.0,0.521920668058455,0.0,0.0,0.0,1990–2001
HTI,1990,0.0,0.0,1.2682308180088777,0.0,0.0,0.9511731135066582,0.31705770450221943,1990–2001
AZE,1998,0.6600660066006601,0.0,1.9801980198019802,1.3201320132013201,0.0,0.0,0.33003300330033003,1990–2001
DOM,1993,0.0,0.0,0.0,0.0,0.0,0.3897116134060795,0.3897116134060795,1990–2001
SLB,1996,0.0,0.0,0.0,0.4775549188156638,0.0,0.4775549188156638,0.0,1990–2001
GEO,1996,1.092896174863388,0.0,0.0,1.092896174863388,0.0,1.8214936247723132,0.36429872495446264,1990–2001
IRN,1991,0.0,0.0,1.3119055428009183,0.9839291571006887,0.6559527714004592,0.3279763857002296,0.0,1990–2001
JOR,1997,0.5202913631633715,0.0,0.7804370447450572,2.3413111342351716,0.0,0.2601456815816858,0.5202913631633715,1990–2001
GTM,1997,0.0,0.0,0.0,0.0,0.0,0.0,0.7283321194464676,1990–2001
LBN,1999,0.0,0.3190810465858328,0.9572431397574984,0.6381620931716656,0.6381620931716656,1.5954052329291641,0.0,1990–2001
CYP,1990,0.0,0.0,0.0,0.2829654782116582,0.0,0.8488964346349746,0.0,1990–2001
DNK,2006,5.424954792043399,0.0,2.4110910186859553,1.2055455093429777,0.0,1.8083182640144664,0.0,2002–2008
LVA,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002–2008
STP,2004,1.176470588235294,0.0,0.588235294117647,0.0,0.0,0.588235294117647,0.0,2002–2008
LTU,2008,0.7032348804500703,0.0,0.7032348804500703,1.4064697609001406,0.0,1.4064697609001406,0.0,2002–2008
KIR,2007,2.347417840375587,0.0,0.0,0.0,0.0,0.0,0.0,2002–2008
SYR,2008,4.48654037886341,0.0,1.4955134596211366,0.9970089730807576,0.0,0.4985044865403788,0.0,2002–2008
POL,2006,1.1785503830288744,0.0,0.5892751915144372,0.0,0.0,0.0,1.1785503830288744,2002–2008
KNA,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002–2008
HUN,2007,2.101576182136603,0.0,0.0,0.0,0.0,0.3502626970227671,0.0,2002–2008
SOM,2006,0.5379236148466917,0.0,0.0,1.0758472296933834,0.0,0.0,0.0,2002–2008
IND,2008,2.3866348448687353,0.0,0.0,0.0,0.0,0.0,0.0,2002–2008
KEN,2006,0.5361930294906166,0.0,0.0,1.0723860589812333,0.0,0.0,0.0,2002–2008
BRA,2006,0.5120327700972862,0.0,0.0,0.0,0.0,0.0,0.5120327700972862,2002–2008
KNA,2003,0.0,0.0,0.0,0.0,0.0,0.5675368898978433,0.0,2002–2008
ITA,2004,2.3130300693909023,0.0,0.0,0.7710100231303006,0.0,0.0,0.0,2002–2008
MKD,2008,2.05761316872428,0.0,0.0,0.0,0.0,1.371742112482853,0.0,2002–2008
ETH,2003,1.1940298507462688,0.0,0.0,0.5970149253731344,0.0,1.1940298507462688,0.0,2002–2008
SYR,2004,3.459119496855346,0.0,0.31446540880503143,0.6289308176100629,0.0,1.5723270440251573,0.31446540880503143,2002–2008
COG,2008,0.48567265662943176,0.0,0.0,0.0,0.0,0.48567265662943176,0.0,2002–2008
ESP,2004,6.625258799171843,0.0,0.4140786749482402,0.4140786749482402,0.0,0.0,0.0,2002–2008
VEN,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002–2008
LBR,2007,0.0,0.0,0.0,1.0422094841063052,0.0,0.0,0.0,2002–2008
AND,2007,0.6747638326585694,0.0,0.0,0.0,0.0,0.0,0.6747638326585694,2002–2008
OMN,2004,2.6990553306342777,0.0,1.3495276653171389,0.0,0.0,0.0,0.0,2002–2008
MDV,2008,5.238344683080147,0.0,0.0,0.0,0.0,1.0476689366160294,0.0,2002–2008
UGA,2002,4.149377593360996,0.0,0.0,0.4610419548178884,0.0,0.4610419548178884,0.0,2002–2008
PAK,2008,12.550756736803248,0.0,1.1074197120708749,0.0,0.0,0.36913990402362495,0.0,2002–2008
DZA,2005,5.795574288724974,0.0,1.053740779768177,0.5268703898840885,0.0,0.0,1.053740779768177,2002–2008
BGR,2005,3.865267807840972,0.0,0.0,1.1043622308117063,0.0,0.0,0.0,2002–2008
IDN,2002,4.549590536851683,0.0,0.45495905368516837,0.45495905368516837,0.0,0.9099181073703367,0.0,2002–2008
NAM,2003,0.6105006105006106,0.0,0.0,0.0,0.0,0.0,0.6105006105006106,2002–2008
BFA,2002,2.5957170668397143,0.0,0.0,1.2978585334198571,0.0,0.6489292667099286,0.0,2002–2008
TGO,2002,2.1197668256491786,0.0,0.0,0.5299417064122947,0.0,0.0,0.5299417064122947,2002–2008
AZE,2004,1.3386880856760375,0.0,0.6693440428380187,1.3386880856760375,1.3386880856760375,3.3467202141900936,0.6693440428380187,2002–2008
MNE,2006,1.0111223458038423,0.0,0.0,0.0,0.0,0.0,0.0,2002–2008
GHA,2007,0.6086427267194157,0.0,0.0,0.0,0.0,0.0,0.0,2002–2008
